X,CH1,CH2,
Second,Volt,Volt,
1.15887e-01,4.08e-02,7.28e+00,
1.15888e-01,4.12e-02,7.28e+00,
1.15889e-01,4.12e-02,7.28e+00,
1.15890e-01,4.04e-02,7.20e+00,
1.15891e-01,4.12e-02,7.28e+00,
1.15892e-01,4.08e-02,7.28e+00,
1.15893e-01,4.08e-02,7.28e+00,
1.15894e-01,4.08e-02,7.20e+00,
1.15895e-01,4.12e-02,7.20e+00,
1.15896e-01,4.12e-02,7.20e+00,
1.15897e-01,4.12e-02,7.20e+00,
1.15898e-01,4.04e-02,7.20e+00,
1.15899e-01,4.12e-02,7.20e+00,
1.15900e-01,4.12e-02,7.20e+00,
1.15901e-01,4.08e-02,7.12e+00,
1.15902e-01,4.04e-02,7.20e+00,
1.15903e-01,4.12e-02,7.20e+00,
1.15904e-01,4.12e-02,7.20e+00,
1.15905e-01,4.08e-02,7.12e+00,
1.15906e-01,4.08e-02,7.20e+00,
1.15907e-01,4.12e-02,7.12e+00,
1.15908e-01,4.12e-02,7.12e+00,
1.15909e-01,4.12e-02,7.20e+00,
1.15910e-01,4.12e-02,7.12e+00,
1.15911e-01,4.12e-02,7.20e+00,
1.15912e-01,4.08e-02,7.20e+00,
1.15913e-01,4.12e-02,7.20e+00,
1.15914e-01,4.12e-02,7.12e+00,
1.15915e-01,4.08e-02,7.12e+00,
1.15916e-01,4.08e-02,7.20e+00,
1.15917e-01,4.12e-02,7.12e+00,
1.15918e-01,4.12e-02,7.12e+00,
1.15919e-01,4.04e-02,7.12e+00,
1.15920e-01,4.12e-02,7.12e+00,
1.15921e-01,4.12e-02,7.12e+00,
1.15922e-01,4.08e-02,7.04e+00,
1.15923e-01,4.04e-02,7.12e+00,
1.15924e-01,4.12e-02,7.04e+00,
1.15925e-01,4.16e-02,7.04e+00,
1.15926e-01,4.04e-02,7.12e+00,
1.15927e-01,4.08e-02,7.04e+00,
1.15928e-01,4.12e-02,7.04e+00,
1.15929e-01,4.12e-02,7.12e+00,
1.15930e-01,4.08e-02,7.04e+00,
1.15931e-01,4.08e-02,7.04e+00,
1.15932e-01,4.12e-02,7.04e+00,
1.15933e-01,4.12e-02,7.12e+00,
1.15934e-01,4.12e-02,7.12e+00,
1.15935e-01,4.12e-02,7.12e+00,
1.15936e-01,4.08e-02,7.04e+00,
1.15937e-01,4.16e-02,7.04e+00,
1.15938e-01,4.12e-02,7.04e+00,
1.15939e-01,4.08e-02,7.04e+00,
1.15940e-01,4.12e-02,7.04e+00,
1.15941e-01,4.12e-02,7.04e+00,
1.15942e-01,4.04e-02,7.04e+00,
1.15943e-01,4.04e-02,7.04e+00,
1.15944e-01,4.12e-02,6.96e+00,
